"PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"206573_at",-0.0558337749502718,5.93604661920431,-0.846889795146885,0.399871887754257,0.833365626153022,-5.17577191736101
"212885_at",0.0308531610333294,6.99847069478909,0.846699244109506,0.399977410137444,0.833400567290619,-5.17590580246268
"206095_s_at",-0.0564009428968433,5.95287478760136,-0.846698733203839,0.399977693087159,0.833400567290619,-5.17590616139602
"206123_at",-0.0629917216341846,7.42630823524933,-0.846574940184801,0.400046255744012,0.833400567290619,-5.17599312511205
"220319_s_at",-0.0632342834594635,6.6870407475457,-0.846536932013239,0.400067307984519,0.833400567290619,-5.17601982309027
"209689_at",-0.0493179721031431,4.98569573679952,-0.846521858586032,0.400075657151539,0.833400567290619,-5.17603041075314
"216496_s_at",-0.0549539630694511,4.36006451071227,-0.846125150455682,0.400295432118106,0.833720458997273,-5.17630899464894
"211747_s_at",0.0870026614598931,6.27984811967823,0.846109593724129,0.4003040520043,0.833720458997273,-5.17631991659246
"217006_x_at",-0.0430350721684958,4.67510764053038,-0.845993462976628,0.400368402913145,0.833776553468561,-5.17640144252517
"205573_s_at",0.050454905610489,6.85689037881446,0.845788454650665,0.400482018570989,0.833935222859299,-5.17654533548066
"209704_at",0.0537500490829927,4.12769263383108,0.845652094682286,0.400557600247929,0.83396068492366,-5.17664102608881
"206859_s_at",-0.039176339948753,4.02759906570845,-0.845631352504545,0.400569098000177,0.83396068492366,-5.17665558059144
"216815_at",-0.058333737336473,4.11848395558247,-0.845354302315403,0.400722691182575,0.834202515659689,-5.17684994948564
"208346_at",-0.0477980212918325,4.42174647783681,-0.845272961514997,0.400767792370523,0.834218469630299,-5.17690700358183
"203476_at",-0.0953161502150426,8.65192102499004,-0.845122045284953,0.400851479425482,0.8342999064486,-5.17701284509725
"209944_at",0.0588770797902258,7.81375328954719,0.845006024855372,0.400915823118991,0.8342999064486,-5.17709420071939
"213470_s_at",-0.0485988494171377,5.12998537143289,-0.844999866231436,0.400919238803196,0.8342999064486,-5.17709851895284
"217255_at",-0.0494834894673133,5.59312348774042,-0.844886737049186,0.40098198546811,0.834352561601073,-5.17717783610857
"220225_at",-0.046756404537426,4.2033609779751,-0.844779060754145,0.401041713303175,0.834398926006971,-5.17725332049862
"204716_at",-0.0783923955967243,5.66924207648381,-0.844646222224417,0.401115406097387,0.834465339603472,-5.17734643143864
"202664_at",0.114497606926261,5.50825087329342,0.844586516068847,0.401148531069981,0.834465339603472,-5.17738827680777
"212312_at",0.048424078370596,7.30668868663168,0.844478489580438,0.40120846842328,0.834487736449219,-5.17746398038895
"212987_at",-0.0879533431868023,9.46866968201095,-0.844432121679799,0.401234196845889,0.834487736449219,-5.17749647151895
"219645_at",0.0748421698340502,6.83338530681967,0.84419840202407,0.401363897606915,0.834626364206995,-5.17766021810506
"217689_at",-0.0499080496383026,4.88312551137713,-0.844177023653121,0.401375762637085,0.834626364206995,-5.17767519381868
"200877_at",-0.0553515938530342,10.4607693041368,-0.844082225155195,0.401428378545727,0.83463479525948,-5.17774159643309
"204396_s_at",-0.04672729324834,6.02652827885866,-0.843976121431212,0.401487274195146,0.83463479525948,-5.17781590927291
"203083_at",-0.106502064690414,8.28106318154678,-0.843967273806671,0.401492185539935,0.83463479525948,-5.17782210555274
"216150_at",0.0435606356403548,4.89471180501989,0.843621366965991,0.40168422839555,0.834856117693494,-5.17806430564752
"220034_at",-0.0468061052584199,4.36682265045866,-0.843588735077479,0.40170234808876,0.834856117693494,-5.17808714912333
"216918_s_at",-0.0565819806174943,7.36096098329735,-0.843536148544792,0.401731549163822,0.834856117693494,-5.17812395973917
"201949_x_at",0.051439390602642,8.2208395742693,0.843505597609371,0.401748514563898,0.834856117693494,-5.17814534438937
"211407_at",-0.0455802789199882,3.22392493649468,-0.843372074955899,0.401822666879742,0.834932346706573,-5.17823879697601
"202512_s_at",0.0586319996928086,6.87968567848136,0.843299102920458,0.401863195721534,0.834938703054821,-5.17828986404015
"212132_at",0.0503455089126508,7.69722161932677,0.843052547775818,0.402000151557554,0.835004406760537,-5.17846237556435
"219104_at",-0.0554016201857097,6.29245138008151,-0.843044641101372,0.402004544010365,0.835004406760537,-5.17846790694915
"210575_at",-0.0332781011036931,3.55274318841887,-0.843039792484017,0.402007237612846,0.835004406760537,-5.17847129894035
"219426_at",0.0929587606462103,6.72230402580898,0.8427248888062,0.402182202977965,0.835146892562141,-5.17869155814375
"212886_at",-0.0507664213373635,4.09152110096705,-0.842706939792786,0.402192177132587,0.835146892562141,-5.17870411014942
"221960_s_at",-0.0630991784574837,7.29202506337023,-0.842683616486062,0.402205137974718,0.835146892562141,-5.17872042008621
"207996_s_at",0.0867192451335974,5.79379806788434,0.842550340591058,0.402279204756326,0.835146892562141,-5.17881361116411
